headword	gloss	root_form	root_language	justification
ἅλς	salt; brine	*sal-	Proto-Indo-European	Tocharian, Hellenic, Armenian, Balto-Slavic, Germanic, Italic, and Celtic lexemes derived from PIE *sal- 'salt' ([NIL](src-274) 586-590, [EIEC](src-657) 498, [IEW](src-49) 878-879, cf. [Adams 2013](src-345):742, [Beekes 2010](src-66):177, [Martirosyan 2010](src-79):24, 40-41, [ALEW](src-352) 887-888, [Derksen 2015](src-353):548-549, [Derksen 2008](src-81):461, [Kroonen 2013](src-165):425, [de Vaan 2008](src-54):535, [Matasović 2009](src-50):319). The root is difficult to reconstruct; the traditional reconstruction as *sal- has been followed here after [NIL](src-274), but note in order to avoid reconstructing PIE *a the Leiden school reconstructs a hysterokinetic l-stem: nom.sg. *séh₂‑l‑s, acc.sg. *sh₂‑el‑m, gen.sg. *sh₂‑l‑ós ([Kortlandt 1985b](src-640):119, [Beekes 1995](src-72):177, cf. also [Rieken 1999](src-317):424n2103). The Germanic forms in this set show an extension in *d which may be on analogy to *su̯eh₂d- 'sweet' [cognate set 5109](cog-5109), alternatively the *-d- might be explained as a compound with the root *deh₃- 'give' (cf. [ALEW](src-352) 886-887 s.v. Old Lithuanian saldùs 'sweet' and further discussion in [cognate set 5157](cog-5157)).
ἐγγύς	near	ἐγγύς / eggýs	Greek: Ancient	Etymology uncertain, cf. [Chantraine 1968–1980](src-270):309, [Beekes 2010](src-66):369-370 for various hypotheses.
ἐμέω	vomit	*u̯emh₁-	Proto-Indo-European	Hellenic, Indo-Iranic, Baltic, and Italic Lexemes from PIE *u̯emh₁- 'to vomit' ([LIV²](src-141) 680, cf. [Beekes 2010](src-66):416-417, [Andriotis 1974](src-460):245, [EWAia](src-172) II:534-535, [Cheung 2007](src-83):417, [ALEW](src-352) 1216, [Derksen 2015](src-353):497, [de Vaan 2008](src-54):690).
ἐρυθρός	red	*(h₁)reu̯dʰ-	Proto-Indo-European	Tocharian, Hellenic, Indo-Iranic, Balto-Slavic, Germanic, Italic, and Celtic lexemes derived from PIE *(h₁)reu̯dʰ- '(to make) red' ([NIL](src-274) 580-584, [EIEC](src-657) 480-481, cf. [Adams 2013](src-345):570-571, [Beekes 2010](src-66):465-466, [EWAia](src-172) II:471, [ALEW](src-352) 847, [Derksen 2015](src-353):376-377, [Snoj 1997-2016](src-594), [Kroonen 2013](src-165):406, [de Vaan 2008](src-54):527, [Matasović 2009](src-50):315, [LIV²](src-141) 508-509).
ἐσθίω	eat	*h₁ed-	Proto-Indo-European	Anatolian, Greek, Armenian, Indic, Balto-Slavic, Germanic, Italic, and Celtic lexemes derived from PIE *h₁ed- *'to bite' → 'to eat' ([LIV²](src-141) 230-231, cf. [Kloekhorst 2008](src-80):261-263, [Beekes 2010](src-66):375, [Martirosyan 2010](src-79):644, [EWAia](src-172) I:61-62, [ALEW](src-352) 269-270, [Derksen 2015](src-353):157-158, [Smoczyński 2005](src-686):183-184, [ESSJa](src-458) 6:53-54, [Derksen 2008](src-81):154, [Kroonen 2013](src-165):119, [de Vaan 2008](src-54):185-186, [Meyer-Lübke 1935](src-444):196, [Matasović 2009](src-50):113).
ἔρχομαι	come, go	*h₁er-	Proto-Indo-European	The root etymology in this set tentatively follows [LIV²](src-141) 238 to PIE *h₁er- 'to get (somewhere)' via a stem formation *h₁r̥-sk̑é-, although formally the Hellenic lexemes may also reflect a secondarily thematised present stem *h₁erg̑ʰ-/h₁r̥g̑ʰ- to *h₁erg̑ʰ- 'to climb, ascend' (cf. [Chantraine 1968–1980](src-270):377, [Beekes 2010](src-66):468).
ἔρχομαι	come, go	*h₁er-	Proto-Indo-European	The root etymology in this set tentatively follows [LIV²](src-141) 238 to PIE *h₁er- 'to get (somewhere)' via a stem formation *h₁r̥-sk̑é-, although formally the Hellenic lexemes may also reflect a secondarily thematised present stem *h₁erg̑ʰ-/h₁r̥g̑ʰ- to *h₁erg̑ʰ- 'to climb, ascend' (cf. [Chantraine 1968–1980](src-270):377, [Beekes 2010](src-66):468).
ἔτος	year	*u̯et-	Proto-Indo-European	Anatolian, Hellenic, Albanian, and Indo-Iranic lexemes from PIE *u̯et- 'year' ([Kloekhorst 2008](src-80):1014-1015, [Beekes 2010](src-66):476-477, [Huld 1984](src-571):129-130, [Demiraj 1997](src-369):419-420, [Orel 1998](src-105):509, [EWAia](src-172) II:495).
ἕλκω	pull, draw, drag	*selk-	Proto-Indo-European	Hellenic and Tocharian lexemes derived from PIE *selk- 'to pull' ([LIV²](src-141) 530-531, cf. [Adams 2013](src-345):753, [Beekes 2010](src-66):412).
ἡμέρα	day	*Heh₂m-	Proto-Indo-European	Hellenic and Armenian lexemes as though from a PIE stem *Heh₂m-, an exclusive Greek-Armenian lexical isogloss ([Chantraine 1968–1980](src-270):412, [Beekes 2010](src-66):518, [Martirosyan 2010](src-79):156, cf. [Clackson 1994](src-319):96-97).
ἥλιος	sun	*seh₂-u̯l̥-	Proto-Indo-European	Hellenic, Indo-Iranic, Balto-Slavic, Germanic, Italic, and Celtic lexemes continuing PIE *séh₂u̯el-, sh₂(u)u̯en- (?), *sh₂un-, *sh₂ul- 'sun' ([NIL](src-274) 606-611, cf. [Beekes 2010](src-66):516, [EWAia](src-172) II:742, [Turner 1962–1966](src-442):782 no. 13574, [Abaev 1959–1995](src-156) IV:246-248, [ALEW](src-352) 892, [Derksen 2015](src-353):390, [Derksen 2008](src-81):479-480, [Kroonen 2013](src-165):463-464, [de Vaan 2008](src-54):570, [Matasović 2009](src-50):324). For an influential analysis of the nominal formation cf. [Beekes 1984](src-677).
ἧπαρ	liver	*(H)i̯ekʷ-r/n-	Proto-Indo-European	Hellenic, Armenian, Indo-Iranic, Baltic, and Italic lexemes continuing PIE *i̯e/okʷ-r/n-, generally presumed to be the PIE inherited word for 'liver' ([NIL](src-274) 392-395, [EIEC](src-657) 356, cf. [Beekes 2010](src-66):522, [Martirosyan 2010](src-79):306-307, [EWAia](src-172) II:391, [ALEW](src-352) 413-414, [de Vaan 2008](src-54):296).
ἰχθῦς	fish	*dʰg̑ʰuH-	Proto-Indo-European	Hellenic, Armenian, and Baltic lexemes from PIE *dʰg̑ʰuH- 'fish' ([Chantraine 1968–1980](src-270):474, [Beekes 2010](src-66):1331-1332, [Martirosyan 2010](src-79):439-440, [ALEW](src-352) 1331-1332).
ἵστημι	stand	*steh₂-	Proto-Indo-European	Anatolian, Hellenic, Indo-Iranic, Balto-Slavic, Germanic, Italic, and Celtic derivatives from PIE *steh₂- 'to position (oneself), stand' ([LIV²](src-141) 590-592, cf. [Kloekhorst 2008](src-80):879-880, [Beekes 2010](src-66):601, [EWAia](src-172) II:764-766, [ALEW](src-352) 981-982, [Derksen 2015](src-353):430, [Derksen 2008](src-81):465-466, 468, [Seebold 1970](src-556):464-465, [Kroonen 2013](src-165):473, 477, [de Vaan 2008](src-54):589-590, [Matasović 2009](src-50):338).
ὀδούς	tooth	*Hd-ónt-	Proto-Indo-European	Hellenic, Armenian, Indo-Iranic, Baltic, Germanic, Italic, and Celtic lexemes continuing an inherited word for 'tooth', widely considered to continue a participle *h₁d-ónt- to the verbal root *h₁ed- *'to bite' → 'to eat', lexicalised as 'tooth' already in PIE ([NIL](src-274) 208-220, [LIV²](src-141) 230-231, [EIEC](src-657) 594). Under this explanation the original Ancient Greek form would be continued by Aeolic ἔδοντ-, which underwent vowel assimilation in other dialects. The Leiden School of Indo-European reconstruction alternatively reconstructs a distinct root *h₃ed- 'to bite, sting' following [Kortlandt 2003](src-549):77, who argues that it would better account for ὀδών much more straightforwardly, and it would also much better account for the Ancient Greek privative adjective νωδός 'toothless' < *n̥-h₃d-ó-, (expected †νηδός < *n̥-h₃d-ó-); as for Aeolic ἔδοντ-, it only occurs in late grammatical texts and could have itself been created on the basis of an analogy to Greek ἔδ- 'eat'. For individual branches, cf. [Chantraine 1968–1980](src-270):776, [Beekes 2010](src-66):1049, [Martirosyan 2010](src-79):1049, [EWAia](src-172) I:693-694, [ALEW](src-352) 174-175, [Derksen 2015](src-353):115, [Ernout & Meillet 1985](src-316):169, [de Vaan 2008](src-54):166-167, [Vendryes et al. 1959–1996](src-296) D:62-63 [Matasović 2009](src-50):90).
ὀμίχλη	mist, fog	*h₃mei̯gʰ-	Proto-Indo-European	Hellenic, Armenian, Indo-Iranic, Balto-Slavic, and Germanic lexemes derived from PIE *h₃mei̯gʰ- ([Beekes 2010](src-66):1077, [Martirosyan 2010](src-79):466, [EWAia](src-172) II:374-375, [ALEW](src-352) 649, [Derksen 2015](src-353):317, [ESSJa](src-458) 21:93-94, [Derksen 2008](src-81):338-339, [EWNl](src-757) 3:140, [Oxford English Dictionary (OED)](src-84)).
ὀμφαλός	navel	*h₃nebʰ-	Proto-Indo-European	Hellenic, Indo-Iranic, Baltic, Germanic, Italic, and Celtic lexemes derived from PIE *h₃nebʰ- 'navel' ([NIL](src-274) 385-387, cf. [Beekes 2010](src-66):1080, [EWAia](src-172) II:13-14, [Derksen 2015](src-353):562, [Kroonen 2013](src-165):380, [de Vaan 2008](src-54):639, [Matasović 2009](src-50):33)
ὀξύς	sharp, keen (of a point or edge)	ὀξύς / oxýs	Greek: Ancient	Root etymology disputed. Traditionally to IE *h₂ek̑- 'sharp' (cf. [IEW](src-49) 21-22, [Buck 1949](src-47):1069, [Chantraine 1968–1980](src-270):806-807), but this is difficult from a morphological point of view. Alternatively [Narten 1986](src-722):204-214 has proposed a comparison with Ved. √akṣ- which could allow a Greek zero-grade formation *h₃k̑s- > ὀξ-, but this proposal has not been met with widespread acceptance (cf. [Beekes 2010](src-66):1089).
ὀρύττω	dig, dig up	*h₃reu̯k-	Proto-Indo-European	The root reconstruction in this cognate set follows [LIV²](src-141) 307, cf. [Chantraine 1968–1980](src-270):828-829, [Beekes 2010](src-66):1113 for additional discussion.
ὀστέον	bone	*h₂ost-	Proto-Indo-European	Anatolian, Hellenic, Armenian, Albanian, Indo-Iranic, Italic, and Celtic lexemes continuing PIE *h₂ost-, the inherited Indo-European word for 'bone' ([EIEC](src-657) 77, cf. [Kloekhorst 2008](src-80):325-326, [Adams 2013](src-345):48-50, [Beekes 2010](src-66):1119, [Martirosyan 2010](src-79):533, [Demiraj 1997](src-369):82-83, [Orel 1998](src-105):11, [EWAia](src-172) I:150-151, [ESIJa](src-331) 1:232-234, [de Vaan 2008](src-54):436-437, [Matasović 2009](src-50):44-45). Perhaps cognate with the lexemes from Proto-Slavic *kost- with [cognate set 1114](cog-1114) but the explanation of the initial k- is unclear (cf. further discussion in that cognate set). The PIE stem is usually reconstructed with initial *h₂- on the basis of Greek ἀστραγαλός 'knucklebone' (cf. [Chantraine 1968–1980](src-270):129), but the etymological connection of this word to the lexemes in this class is rejected by [Beekes 2010](src-66):157-158 who prefers to see Greek ἀστραγαλός as a substratum loanword.
ὀσφραίνομαι	catch scent of, smell	*gʷʰreh₁-	Proto-Indo-European	Connection to a common root *gʷʰreh₁- follows [LIV²](src-141) 221 and [Beekes 2010](src-66):1121, but cf. the reservations of [EWAia](src-172) I:520. For Modern Indic lexemes attached to this set, cf. [Turner 1962–1966](src-442):244, no. 4520, p.245 no. 4531; [KEWA](src-399) I:362. For this Hellenic lexemes in this cognate set, this class encodes the compound element -φραίνομαι.
ὀφθαλμός	eye	ὀφθαλμός / ophthalmós	Greek: Ancient	Root etymology possibly to PIE *h₃ekʷ- as in Ancient Greek ὄσσε 'eyes' (dual), but the stem formation is very unclear ([Frisk 1960-1972](src-174) II:452-453, [Chantraine 1968–1980](src-270):811-813}, [Beekes 2010](src-66):1133-1134). Cf. note by Scarborough in cognate set citations for further justification and discussion.
ὁράω	see, look	ὁράω / horáō	Greek: Ancient	Two possibilities for a root etymology: Either to *ser- ([LIV²](src-141) 534) or to *u̯er- ([Beekes 2010](src-66):1095-1097, cf. [LIV²](src-141) 3. *u̯er- 'to observe, perceive', [IEW](src-49) 1164).
ὄνομα	name	*Hneh₃-mn̥	Proto-Indo-European	Anatolian, Tocharian, Hellenic, Armenian, Albanian, Indo-Iranic, Balto-Slavic, Germanic, Italic, and Celtic lexemes reflecting the Indo-European inherited word for 'name' (cf. [EIEC](src-657) 390-391). Certain details of the reconstruction of the PIE word are disputed (cf. [Stüber 1998](src-315):53-59), but a general shape *Hneh₃-mn̥ with different ablaut variants of the root and suffix tend to be agreed upon. Debate on the identity of the initial laryngeal as *h₁ or *h₃ hinge on interpretation of the Doric Greek forms in ἐνυμα- versus the ὄνομα forms more commonly found elsewhere (cf. esp. discussions of [EWAia](src-172) II:35-37, [Beekes 2010](src-66):1084-1085). Cf. also [Kloekhorst 2008](src-80):517-519, [Adams 2013](src-345):288, [Martirosyan 2010](src-79):96-97, [Demiraj 1997](src-369):165, [Orel 1998](src-105):87, [Derksen 2015](src-353):556-557, [Derksen 2008](src-81):212, [Kroonen 2013](src-165):382-383, [de Vaan 2008](src-54):412-413, [Matasović 2009](src-50):38).
ὄνυξ	fingernail, hoof	*h₃neg⁽ʷ⁾ʰ-	Proto-Indo-European	Anatolian, Tocharian, Hellenic, Armenian, Indo-Iranic, Balto-Slavic, Germanic, Italic, and Celtic lexemes derived from PIE *h₃neg⁽ʷ⁾ʰ- '(finger)nail' ([Kloekhorst 2008](src-80):723-725, [Beekes 2010](src-66):1086-1087, [Martirosyan 2010](src-79):254-255, [EWAia](src-172) II:4-5, [ALEW](src-352) 681-682, [Derksen 2015](src-353):327, [ESSJa](src-458) 25:161-164, 170-173, [Derksen 2008](src-81):355, [de Vaan 2008](src-54):641, [Matasović 2009](src-50):36). Indo-Iranic forms go back to an aberrant *(H)nákha-; Indo-Aryan forms go back to nakhá- ~ *nakkha-; some show early nasalization due to blend with aṅgúri- ~  aṅgúli- 'finger, toe' (°-aṅgulá-) or aṅguṣṭhá- 'thumb'; aṅká- 'hook' (RV) and later aṅkurá- 'hooked' may also have played a role, cf. [Turner 1962–1966](src-442), no. 6914 + 134f. 137f., 100, 109; Addenda 6914
ὄνυξ	nail, claw, hoof	*h₃neg⁽ʷ⁾ʰ-	Proto-Indo-European	Hellenic, Indo-Iranic, Balto-Slavic, Italic, and Celtic lexemes derived from PIE *h₃neg⁽ʷ⁾ʰ- '(finger)nail' ([Beekes 2010](src-66):1086-1087, [EWAia](src-172) II:4-5, [ALEW](src-352) 681-682, [Derksen 2015](src-353):327, [ESSJa](src-458) 25:161-164, 170-173, [Derksen 2008](src-81):355 [de Vaan 2008](src-54):641, [Matasović 2009](src-50):36). Indo-Iranian forms go back to an aberrant *(H)nákha-; some show early nasalization due to blend with aṅgúri- ~  aṅgúli- 'finger, toe' (°-aṅgulá-) or aṅguṣṭhá- 'thumb'; aṅká- 'hook' (RV) and later aṅkurá- 'hooked' may also have played a role, cf. [Turner 1962–1966](src-442), no. 6914 + 134f. 137f., 100, 109; Addenda 6914
ὄρνις	bird	*h₃er-	Proto-Indo-European	Hellenic lexemes, ultimately derivatives from PIE *h₃er- 'to set oneself in motion' ([Beekes 2010](src-66):1106, cf. [Chantraine 1968–1980](src-270):822-823, [LIV²](src-141) 299-300).
ὄρος	mountain, hill	*h₃er-	Proto-Indo-European	Hellenic lexemes derived from PIE *h₃er- 'to set in motion; rise' ([Chantraine 1968–1980](src-270):826, [Beekes 2010](src-66):1109-1110; cf. [LIV²](src-141) 299-300).
ὄφις	snake, serpent	*He(n)gʷʰi-	Proto-Indo-European	Hellenic, Armenian, Indo-Iranic, Balto-Slavic, and Italic lexemes generally considered to be cognate, although the precise reconstruction debated; some taboo distortion is likely to have occurred in some branches ([Sihler 1995](src-290):163, [Katz 1998](src-456); cf. [Beekes 2010](src-66):1134-1135, [Babinotis 2010](src-382):1535, [Martirosyan 2010](src-79):153, [EWAia](src-172) I:157, [Turner 1962–1966](src-442):44 no. 994, [ALEW](src-352) 40-41, [Derksen 2015](src-353):55, [Derksen 2008](src-81):388, [de Vaan 2008](src-54):42).
ὑγρός	wet	*u̯egʷ-	Proto-Indo-European	Hellenic lexemes from PIE *ugʷ-ro- 'wet', a Caland adjective in *-ro- to *u̯egʷ- ([Beekes 2010](src-66):1525-1526).
ὕδωρ	water	*u̯ed-	Proto-Indo-European	Anatolian, Tocharian, Hellenic, Albanian, Indic, Balto-Slavic, Germanic, Italic, and Celtic lexemes derived from PIE *u̯ód-r̥-, *u̯ed-en- 'water', a heteroclite r/n-stem derived to PIE *u̯ed- 'to well up, stream' ([NIL](src-274) 706-715, cf. [Kloekhorst 2008](src-80):987-988, [Adams 2013](src-345):627-628, [Beekes 2010](src-66):5126-1527, [Demiraj 1997](src-369):401-402, [Orel 1998](src-105):482-483, [EWAia](src-172) I:215-216, [ALEW](src-352) 1185-1186, [Derksen 2015](src-353):488, [Derksen 2008](src-81):523, [Kroonen 2013](src-165):575-576, [Untermann 2000](src-279):815-816, [Vendryes et al. 1959–1996](src-296) U:21, [Matasović 2009](src-50):394).
ὕετος	rain	*sh₂eu̯-	Proto-Indo-European	Tocharian, Hellenic, and Albanian lexemes from PIE *sh₂eu̯- 'to rain' ([LIV²](src-141) 545, [Adams 2013](src-345):796, [Beekes 2010](src-66):1541, [Demiraj 1997](src-369):380-381, [Orel 1998](src-105):413-414); note the zero-grade of the root was *suh₂- by laryngeal metathesis ([Jasanoff 1978a](src-646):89n7, 90n11).
ὕλη	forest, woodland; firewood, fuel	ὕλη / hýlē	Greek: Ancient	Etymology outside of Greek uncertain; reminiscent of Lat. silva 'forest' but a common proto-form cannot be reconstructed. ([Chantraine 1968–1980](src-270):1154-1155, [Beekes 2010](src-66):1529-1530).
ὠθέω	thrust, push	*u̯edʰ(h₁)-	Proto-Indo-European	The Modern Greek forms are from prefixed προ-ωθέω with various sound laws and analogical changes applied (cf. [Babinotis 2010](src-382):1317), ultimately to IE *u̯edʰh₁- 'push' ([LIV²](src-141) 660, cf. [Beekes 2010](src-66):1676-1677). Reconstruction of the final laryngeal is not secure (cf. [LIV² Addenda \& Corrigenda](src-389)).
ᾄδω	sing (of), chant	?*h₂u̯ei̯d-	Proto-Indo-European	The ablaut and morphology of related vocabulary within Greek suggest a root *h₂u̯ei̯d-, but there are no known cognates outside of Greek (cf. [LIV²](src-141) 288, [Beekes 2010](src-66):23).
ᾠόν	egg	*h₂ōu̯ió-	Proto-Indo-European	Hellenic, Armenian, Albanian, Iranic, Slavic, Germanic, Italic, and Celtic lexemes continuing PIE *h₂ōu̯ió- 'egg', which may be a vr̥ddhi-derivative to the Indo-European word for 'bird' *h₂eu̯-i- ([EIEC](src-657) 176, cf. [cognate set 856](cog-856)); alternatively [Schindler 1969](src-653) reconstructs an adpositional construction *ō-h₂uiom 'towards the bird'. For individual branches, cf. [Beekes 2010](src-66):1681, [Martirosyan 2010](src-79):439, [Orel 1998](src-105):497, [Holm 2011](src-130):60, [Abaev 1959–1995](src-156) I:41, [Bailey 1979](src-320):30, [ESSJa](src-458) 1:61-64, [Derksen 2008](src-81):27, [Kroonen 2013](src-165):17, [de Vaan 2008](src-54):438, [Matasović 2009](src-50):50.
ῥάβδος	stick	*u̯erb-	Proto-Indo-European	Generally connected to Lith. vir̃bas 'twig, rod', Rus. верба (OCS връба) 'willow' from a zero-grade fromation *u̯r̥b-, and Lat. uerbera '(rods for) punishment', uerbēnae 'twigs of the laurel' from the full-grade *u̯erb- ([Frisk 1960-1972](src-174) II:636-637, [Chantraine 1968–1980](src-270):964), but [Beekes 2010](src-66):1269-1270 is inclined to believe the word is of substratum origin.
ῥάπτω	sew together, stitch	ῥάπτω / rháptō	Greek: Ancient	Hellenic lexemes, traditionally connected with Baltic lexemes (Lith. ver̃pti, 'spin', Latv. virpêt 'spin with a spindle' ([IEW](src-49) 1156), but the evidence of Myc. e-ra-pe-me-na without initial *w- makes this etymology impossible ([Chantraine 1968–1980](src-270):967, [Beekes 2010](src-66):1275-1276). Further etymology outside of Greek uncertain.
ῥίζα	root	?*u̯reh₂d-	Proto-Indo-European	The cognacy of the Hellenic, Germanic, Italic, Celtic, and Albanian lexemes in this set is generally agreed, but the precise root reconstruction is disputed, cf. [Beekes 2010](src-66):1271, 1285, [Vine 1999](src-606):5-30, [Demiraj 1997](src-369):350-351, [Orel 1998](src-105):384, [Holm 2011](src-130):76, [Kroonen 2013](src-165):601, [de Vaan 2008](src-54):512, [Matasović 2009](src-50):430).
ῥίπτω	throw, cast, hurl	ῥίπτω / rhíptō	Greek: Ancient	Etymology outside of Greek uncertain ([Chantraine 1968–1980](src-270):975, [Beekes 2010](src-66):1287-1288; cf. [IEW](src-49) 1159 for unconvincing older proposals to Germanic lexemes via OHG rīban, etc.).
ῥίς	nose, nostril	ῥίς / rhís	Greek: Ancient	No clear etymology outside of Greek ([Chantraine 1968–1980](src-270):975-976, [Beekes 2010](src-66):1288).
ῥυπαρός	dirty, filthy	ῥύπος / hrýpos	Greek: Ancient	Etymology outside of Greek unclear ([Chantraine 1968–1980](src-270):979-980, [Beekes 2010](src-66):1294-1295). For older hypotheses, cf. [Frisk 1960-1972](src-174) II:665-666, [IEW](src-49) 1004.
